companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
740992206,null,Arnot-Roberts Falanghina Cimas 2023,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),22.67
1071316772,null,Arnot-Roberts Falanghina Cimas 2024,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),22.67
961917683,null,Arnot Roberts Rose,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),0.0
698140713,null,Arnot Roberts Rose 2023,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),17.1
877256851,595,Artichokes,"[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Pound,6.5
836791638,null,Art work up/stamping Die,"[{'categoryId': '1079', 'percentAllocation': 100.0}]",1,False,Each,75.0
757934159,64,"Arugula, Baby","[{'categoryId': '1067', 'percentAllocation': 100.0}]",2,False,Pound,6.62
663634931,null,Asahi Super Dry 11.2oz Can,"[{'categoryId': '1131', 'percentAllocation': 100.0}]",3,False,Can (Each),0.79
669999575,null,ASB - All Seasons Pils (1/6),"[{'categoryId': '1157', 'percentAllocation': 100.0}]",0,False,5.2 Gallons,80.0
1075723917,null,Ascorbic Acid,"[{'categoryId': '1099', 'percentAllocation': 100.0}]",0,False,500 Grams,24.97
801244043,87,"Asparagus, Fresh","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Asparagus (Pound),4.92
669205511,null,Athletic NA Cerveza 12oz Can,"[{'categoryId': '1131', 'percentAllocation': 100.0}]",1,False,Can (12 Fluid Ounces),1.38
719483616,null,Athletic N/A Upside Dawn 12oz Can,"[{'categoryId': '1095', 'percentAllocation': 100.0}]",1,False,Can (12 Fluid Ounces),1.38
846608138,null,Atōst California Apertif,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),23.0
769758718,null,AU Gratin Dish Oval 15OZ Winco,"[{'categoryId': '1135', 'percentAllocation': 100.0}]",0,False,Each,2.66
683462362,201212359,Averna Amaro,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",2,False,Bottle (Liter),32.2
664582736,null,Avocado - Bar,"[{'categoryId': '1099', 'percentAllocation': 100.0}]",0,False,Avocado - Bar (Each),1.91
662192200,282444263,"Avocados, Fresh","[{'categoryId': '1099', 'percentAllocation': 100.0}]",3,False,Each,0.05
677034723,201212362,Avua Prata Cachaca,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),25.84
684831254,null,Awning Clearing,"[{'categoryId': '1061', 'percentAllocation': 100.0}]",0,False,Other,600.0
